id,Ref,Sample,Category 1,Category 2,Category 3,Category 4,Rock,SiO2,TiO2,Al2O3,Cr2O3,V2O5,Fe2O3,FeO,MnO,MgO,CaO,ZnO,NiO,Na2O,K2O,Total,MgAl2O4,FeAl2O4,MnAl2O4,ZnAl2O4,MgFe2O4,FeFe2O4,MnFe2O4,ZnFe2O4,NiFe2O4,MgCr2O4,FeCr2O4,MnCr2O4,ZnCr2O4,NiCr2O4,MgV2O4,FeV2O4,MnV2O4,Mg2TiO4,Fe2TiO4,id_stone
12,137,SP 262-2,alaskan ultramafic,,,,,0.21,1.44,2.44,24.03,1.625,38.46020346,31.27409424,0,1.94,0,0.55,0,0,0,101.9692977,0.042,0.384,0,0.006,0.428,3.867,0,0.06,0,0.281,2.539,0,0.039,0,0.019,0.174,0,0.016,0.145,1
13,137,SP 144,alaskan ultramafic,,,,,0.17,0.2,14.02,36.5,1.625,16.37545665,25.25162486,0,6.38,0,0.55,0,0,0,101.0720815,1.136,1.051,0,0.049,0.847,0.784,0,0.036,0,1.985,1.835,0,0.085,0,0.09,0.083,0,0.01,0.01,1
14,137,SP 182A-1,alaskan ultramafic,,,,,0.13,0.62,8.67,41.98,1.625,15.83634055,29.03864254,0,3.88,0,0.55,0,0,0,102.3299831,0.447,0.955,0,0.031,0.521,1.114,0,0.037,0,1.45,3.101,0,0.102,0,0.057,0.122,0,0.02,0.044,1
15,137,SP 182A-2,alaskan ultramafic,,,,,0.17,0.58,9.11,47.28,1.625,12.14420419,28.17833618,0,4.97,0,0.55,0,0,0,104.6075404,0.485,0.945,0,0.027,0.413,0.804,0,0.023,0,1.689,3.29,0,0.093,0,0.059,0.115,0,0.02,0.038,1
16,137,SP GK-226A,alaskan ultramafic,,,,,0.09,0,13.02,36.96,1.495,20.66152729,24.99560515,0,6.98,0,0.65,0,0,0,104.8521324,1.284,0.661,0,0.059,1.3,0.669,0,0.06,0,2.444,1.258,0,0.113,0,0.1,0.052,0,0,0,1
17,137,SP AGK-153,alaskan ultramafic,,,,,0.04,0,13.28,40.76,1.43,17.11206271,22.09996694,0,8.67,0,0.85,0,0,0,104.2420296,1.366,0.592,0,0.066,1.123,0.487,0,0.055,0,2.812,1.219,0,0.137,0,0.1,0.043,0,0,0,1
18,137,SP AGK-145-1,alaskan ultramafic,,,,,0.02,0,13.87,39.49,1.625,16.9734664,22.17463813,0,8.74,0,0.65,0,0,0,103.5431045,1.434,0.635,0,0.053,1.121,0.496,0,0.041,0,2.74,1.214,0,0.101,0,0.114,0.051,0,0,0,1
19,137,SP AGK-156A,alaskan ultramafic,,,,,0.04,0,13.79,38.47,1.82,17.7275808,22.01336733,0,8.87,0,0.65,0,0,0,103.3809481,1.491,0.572,0,0.054,1.224,0.469,0,0.044,0,2.79,1.07,0,0.101,0,0.134,0.051,0,0,0,1
20,137,SP AGK-147,alaskan ultramafic,,,,,0.06,0,10.45,36.9,1.755,21.40092092,26.44965073,0,5.52,0,0.65,0,0,0,103.1855717,0.934,0.683,0,0.054,1.221,0.893,0,0.071,0,2.212,1.617,0,0.129,0,0.107,0.078,0,0,0,1
21,137,SP GK-227A,alaskan ultramafic,,,,,0.06,1.92,14.21,30.87,1.755,19.64481187,27.98620891,0,6.04,0,0.65,0,0,0,103.1360208,1.135,1.087,0,0.06,1.002,0.959,0,0.053,0,1.654,1.584,0,0.088,0,0.095,0.091,0,0.098,0.094,1
22,137,SP AGK-150C,alaskan ultramafic,,,,,0,1.09,12.98,37.97,1.495,15.96512903,23.67061617,0,7.89,0,0.65,0,0,0,101.7107452,1.212,0.802,0,0.049,0.952,0.63,0,0.039,0,2.379,1.574,0,0.097,0,0.095,0.063,0,0.065,0.043,1
23,137,SP AGK-150-1,alaskan ultramafic,,,,,0.11,1.28,12.98,38.31,1.495,15.88522573,23.60248029,0,8.19,0,0.65,0,0,0,102.502706,1.223,0.78,0,0.048,0.956,0.61,0,0.038,0,2.422,1.545,0,0.095,0,0.096,0.061,0,0.077,0.049,1
24,137,SP AGK-148,alaskan ultramafic,,,,,0.08,1,0,21.97,0,44.8295446,30.76507547,0,0.89,0,0,0,0,0,99.53462007,0,0,0,0,0.255,4.949,0,0,0,0.131,2.548,0,0,0,0,0,0,0.006,0.11,1
25,137,SP AGK262&CORE&,alaskan ultramafic,,,,,0.21,1.1,14.74,33.97,0,18.72884266,24.58881919,0,6.88,0,0,0,0,0,100.2176619,1.441,0.909,0,0,1.169,0.737,0,0,0,2.227,1.405,0,0,0,0,0,0,0.069,0.043,1
26,137,SP AGK262&25 OUTSIDE CORE&,alaskan ultramafic,,,,,0.19,1.12,15.1,32.24,0,20.1000518,24.99853276,0,6.7,0,0,0,0,0,100.4485846,1.522,0.881,0,0,1.293,0.749,0,0,0,2.18,1.262,0,0,0,0,0,0,0.072,0.042,1
27,137,SP AGK262&26 INSIDE RIM&,alaskan ultramafic,,,,,0.19,1.14,14.83,32.26,0,19.80600141,24.7569996,0,6.68,0,0,0,0,0,99.66300102,1.504,0.876,0,0,1.283,0.747,0,0,0,2.195,1.278,0,0,0,0,0,0,0.074,0.043,1
28,137,SP AGK262&27 OUTSIDE RIM&,alaskan ultramafic,,,,,0.21,1.35,3.1,24.57,0,37.81637293,29.19397534,0,2.27,0,0,0,0,0,98.51034826,0.068,0.488,0,0,0.527,3.805,0,0,0,0.36,2.597,0,0,0,0,0,0,0.019,0.136,1
29,137,SP AGK262&28 OUTSIDE RIM&,alaskan ultramafic,,,,,0.21,1.44,2.44,24.03,0,39.76512256,30.1002322,0,1.94,0,0,0,0,0,99.92535476,0.045,0.39,0,0,0.467,4.06,0,0,0,0.296,2.578,0,0,0,0,0,0,0.017,0.147,1
